Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Dominical,2022-02-06,2763,CCBD,20,8,2710,6554
Intermedio,2022-02-09,8676,BABC,7,9,8709,8509
Dominical,2022-02-13,9432,CBAB,11,12,3642,9859
Intermedio,2022-02-16,2616,DDBB,11,3,1781,8009
Dominical,2022-02-20,6646,BDCA,7,1,2385,8337
Intermedio,2022-02-23,0090,ACAC,22,1,9907,7326
Zodiaco,2022-02-25,5871,ADAB,2,15,0082,0077
Dominical,2022-02-27,8349,BDDB,13,1,7431,3702
Dominical,2022-01-03,3019,BAAC,9,3,5237,8527
Intermedio,2022-01-06,8526,DDDB,19,13,3305,3235
Dominical,2022-01-09,0234,CBBA,18,13,6702,2588
Intermedio,2022-01-12,8116,CDCD,11,6,5603,2345
Dominical,2022-01-16,4982,CABB,1,1,4286,3103
Intermedio,2022-01-19,8462,DCBB,8,15,1488,1223
Dominical,2022-01-23,5586,CDCA,18,13,0343,2713
Intermedio,2022-01-26,0034,AACC,14,8,9845,0707
Zodiaco,2022-01-28,5969,BCCD,3,13,0011,0024
Dominical,2022-01-30,1369,BDAD,11,12,2776,5787
Intermedio,2021-12-01,8060,CBCB,7,7,6731,4420
Dominical,2021-12-05,7618,BBCB,22,15,2233,7147
Intermedio,2021-12-09,4382,CDDD,15,15,1856,9239
Extraordinaria,2021-12-12,44557,DACB,2,15,47698,5162
Intermedio,2021-12-15,1730,ABAA,11,7,6678,9139
Dominical,2021-12-19,7189,DBCC,12,10,3446,4690
Intermedio,2021-12-22,3154,CDDB,13,3,4632,9230
Dominical,2021-12-26,8613,CBCC,10,7,9170,8891
Intermedio,2021-12-29,7343,DBBC,12,3,2401,1074
Zodiaco,2021-12-31,7233,CCBC,3,9,0053,0073
Dominical,2021-11-01,8399,CDAD,8,8,1084,4395
Intermedio,2021-11-04,0309,DBBB,18,11,8500,1630
Dominical,2021-11-07,8958,BABA,18,4,4629,3736
Intermedio,2021-11-11,7832,AACD,11,15,8716,9225
Dominical,2021-11-14,3120,ACDD,7,2,3308,7903
Intermedio,2021-11-17,9563,AADD,21,9,1728,6398
Dominical,2021-11-21,6004,DCAC,19,12,5112,9977
Intermedio,2021-11-24,1193,CDBD,14,7,8605,0378
Zodiaco,2021-11-26,6591,CBDC,6,5,0047,0032
Dominical,2021-11-28,8708,ABBC,11,14,0892,7864
Dominical,2021-10-03,7247,CACC,5,2,0226,5995
Intermedio,2021-10-06,1378,ABDB,4,8,1944,0905
Dominical,2021-10-10,7467,AAAB,21,10,7418,7365
Intermedio,2021-10-13,6999,CBBB,20,9,1551,0916
Dominical,2021-10-17,1962,AABD,6,12,9301,8493
Intermedio,2021-10-20,7865,BDDB,14,11,8223,4259
Dominical,2021-10-24,4239,BBAB,1,15,7277,6730
Intermedio,2021-10-27,9096,CBDD,3,8,1204,3097
Zodiaco,2021-10-29,0842,ADBD,7,8,0072,0041
Intermedio,2021-09-01,5058,BBAA,8,2,9507,2139
Dominical,2021-09-05,6943,DADB,9,7,7385,4983
Intermedio,2021-09-08,4987,ACBD,20,9,4124,4477
Dominical,2021-09-12,8772,DDAB,23,1,6210,0090
Intermedio,2021-09-15,4306,CADC,12,9,2764,3126
Dominical,2021-09-19,5767,CAAD,4,3,3345,1632
Intermedio,2021-09-22,4642,DBCD,13,13,9825,1065
Dominical,2021-09-27,2852,DABA,26,8,7115,8173
Intermedio,2021-09-30,9990,BBAD,3,4,5932,0641
Dominical,2021-08-02,6589,BCCA,8,4,3700,8464
Intermedio,2021-08-05,1871,CABD,2,6,2350,9383
Dominical,2021-08-08,2319,DACA,8,5,0335,2395
Intermedio,2021-08-11,7177,BACA,17,15,0805,2678
Extraordinaria,2021-08-15,6398,ADAB,3,3,26998,63479
Intermedio,2021-08-18,5114,CDBA,17,9,8939,3055
Dominical,2021-08-22,2468,BBBA,13,10,0765,6728
Intermedio,2021-08-25,0587,BAAD,22,7,5719,2479
Dominical,2021-08-29,9416,CCAC,8,13,8696,7454
Dominical,2021-07-04,9775,BBCA,15,1,4449,9786
Intermedio,2021-07-07,8597,CACD,11,3,3558,2042
Dominical,2021-07-11,6634,CAAB,12,4,3356,9173
Intermedio,2021-07-14,1954,ACBD,2,10,2169,6807
Dominical,2021-07-18,6882,ADDB,24,2,8056,6658
Intermedio,2021-07-21,1513,DCCD,19,5,2076,6257
Dominical,2021-07-25,9755,BBBA,7,7,7183,2928
Intermedio,2021-07-28,3838,AAAB,13,11,0394,9675
Intermedio,2021-06-02,8171,DCAC,16,4,9893,5970
Dominical,2021-06-06,9145,ABDA,23,7,0432,0686
Intermedio,2021-06-09,4025,DBAA,4,12,6520,4910
Dominical,2021-06-13,5139,BDDD,14,13,2401,6484
Intermedio,2021-06-16,6352,BDBB,6,14,1124,8907
Extraordinaria,2021-06-20,54808,BDAD,3,5,1008,3340
Intermedio,2021-06-23,1542,DBCB,21,5,4214,8374
Dominical,2021-06-27,4374,DDDA,14,8,3227,6342
Intermedio,2021-06-30,8805,BABA,4,13,9180,6037
Dominical,2021-05-02,1464,ABAC,3,3,4002,2658
Intermedio,2021-05-06,5491,CDDC,4,8,0692,6376
Dominical,2021-05-09,1021,BBCC,16,5,8630,9531
Intermedio,2021-05-12,4959,ABCB,6,3,9671,7399
Dominical,2021-05-16,2814,DBAA,6,3,3989,0486
Intermedio,2021-05-19,0755,CBAA,21,4,4896,5439
Dominical,2021-05-23,2359,DDCB,20,13,8562,7547
Intermedio,2021-05-26,4762,DDDB,19,5,9292,3804
Dominical,2021-05-30,9574,ADCD,9,7,4364,1308
Dominical,2021-04-25,6255,BBAC,12,2,2656,5282
