Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Dominical,10/10/2021,7467,AAAB,21,10,7418,7365
Intermedio,13-10-2021,6999,CBBB,20,9,1551,916
Dominical,17-10-2021,1962,AABD,6,12,9301,8493
Intermedio,20-10-2021,7865,BDDB,14,11,8223,4259
Dominical,24-10-2021,4239,BBAB,1,15,7277,6730
Intermedio,27-10-2021,9096,CBDD,3,8,1204,3097
Zodiaco,29-10-2021,842,ADBD,7,8,72,41
Intermedio,1/9/2021,5058,BBAA,8,2,9507,2139
Dominical,5/9/2021,6943,DADB,9,7,7385,4983
Intermedio,8/9/2021,4987,ACBD,20,9,4124,4477
Dominical,12/9/2021,8772,DDAB,23,1,6210,90
Intermedio,15-09-2021,4306,CADC,12,9,2764,3126
Dominical,19-09-2021,5767,CAAD,4,3,3345,1632
Intermedio,22-09-2021,4642,DBCD,13,13,9825,1065
Dominical,27-09-2021,2852,DABA,26,8,7115,8173
Intermedio,30-09-2021,9990,BBAD,3,4,5932,641
Dominical,2/8/2021,6589,BCCA,8,4,3700,8464
Intermedio,5/8/2021,1871,CABD,2,6,2350,9383
Dominical,8/8/2021,2319,DACA,8,5,335,2395
Intermedio,11/8/2021,7177,BACA,17,15,805,2678
Extraordinaria,15-08-2021,6398,ADAB,3,3,26998,63479
Intermedio,18-08-2021,5114,CDBA,17,9,8939,3055
Dominical,22-08-2021,2468,BBBA,13,10,765,6728
Intermedio,25-08-2021,587,BAAD,22,7,5719,2479
Dominical,29-08-2021,9416,CCAC,8,13,8696,7454
Dominical,4/7/2021,9775,BBCA,15,1,4449,9786
Intermedio,7/7/2021,8597,CACD,11,3,3558,2042
Dominical,11/7/2021,6634,CAAB,12,4,3356,9173
Intermedio,14-07-2021,1954,ACBD,2,10,2169,6807
Dominical,18-07-2021,6882,ADDB,24,2,8056,6658
Intermedio,21-07-2021,1513,DCCD,19,5,2076,6257
Dominical,25-07-2021,9755,BBBA,7,7,7183,2928
Intermedio,28-07-2021,3838,AAAB,13,11,394,9675
Intermedio,2/6/2021,8171,DCAC,16,4,9893,5970
Dominical,6/6/2021,9145,ABDA,23,7,432,686
Intermedio,9/6/2021,4025,DBAA,4,12,6520,4910
Dominical,13-06-2021,5139,BDDD,14,13,2401,6484
Intermedio,16-06-2021,6352,BDBB,6,14,1124,8907
Extraordinaria,20-06-2021,54808,BDAD,3,5,1008,3340
Intermedio,23-06-2021,1542,DBCB,21,5,4214,8374
Dominical,27-06-2021,4374,DDDA,14,8,3227,6342
Intermedio,30-06-2021,8805,BABA,4,13,9180,6037
Dominical,2/5/2021,1464,ABAC,3,3,4002,2658
Intermedio,6/5/2021,5491,CDDC,4,8,692,6376
Dominical,9/5/2021,1021,BBCC,16,5,8630,9531
Intermedio,12/5/2021,4959,ABCB,6,3,9671,7399
Dominical,16-05-2021,2814,DBAA,6,3,3989,486
